date,username,feature,sessions,time spent,average time spent
2017-06-08,nblair,Account Managment,17,24,1.411764706
2017-06-08,amurphy,Automation,16,12,0.75
2017-06-08,mforbes,Roadmap,14,43,3.071428571
2017-06-09,evilla,Automation,14,13,0.9285714286
2017-06-09,kflowers,Reporting,16,33,2.0625
2017-06-09,jhansen,Task Creation,14,11,0.7857142857
2017-06-09,ggiles,Roadmap,14,41,2.928571429
2017-06-10,chenson,Reporting,17,15,0.8823529412
2017-06-10,soneill,Task Creation,15,12,0.8
2017-06-10,ofrye,Account Managment,13,8,0.6153846154
2017-06-10,sfox,Saga Creation,17,29,1.705882353
2017-06-10,zhodges,Automation,17,7,0.4117647059
2017-06-11,ncooke,Automation,13,18,1.384615385
2017-06-11,bedwards,Reporting,16,25,1.5625
2017-06-11,shardin,Task Creation,16,17,1.0625
2017-06-11,dbriggs,Account Managment,16,6,0.375
2017-06-11,ablackwell,Roadmap,17,53,3.117647059
2017-06-12,sferguson,Account Managment,16,5,0.3125
2017-06-12,rconway,Reporting,17,23,1.352941176
2017-06-12,shorne,Task Creation,17,10,0.5882352941
2017-06-13,bparker,Account Managment,13,18,1.384615385
2017-06-13,sshepard,Saga Creation,17,33,1.941176471
2017-06-13,cdudley,Automation,14,18,1.285714286
2017-06-13,kreese,Reporting,16,20,1.25
2017-06-13,greilly,Task Creation,15,21,1.4
2017-06-13,rcalhoun,Roadmap,15,58,3.866666667
2017-06-14,sshepard,Saga Creation,13,28,2.153846154
2017-06-14,jbarajas,Reporting,13,30,2.307692308
2017-06-14,amcintyre,Roadmap,15,49,3.266666667
2017-06-14,tosborne,Task Creation,13,19,1.461538462
2017-06-14,skelly,Account Managment,13,24,1.846153846
2017-06-14,chodge,Automation,13,3,0.2307692308
2017-06-15,rrobles,Account Managment,14,23,1.642857143
2017-06-15,greilly,Saga Creation,16,19,1.1875
2017-06-15,qwyatt,Task Creation,17,19,1.117647059
2017-06-15,cstuart,Reporting,13,22,1.692307692
2017-06-16,cstuart,Task Creation,17,23,1.352941176
2017-06-16,nclarke,Account Managment,16,20,1.25
2017-06-16,amurphy,Automation,13,10,0.7692307692
2017-06-16,kkane,Saga Creation,14,24,1.714285714
2017-06-16,kdurham,Reporting,16,32,2
2017-06-16,kdurham,Roadmap,17,53,3.117647059
2017-06-17,nblair,Saga Creation,14,27,1.928571429
2017-06-17,kashley,Reporting,14,32,2.285714286
2017-06-17,lbuck,Task Creation,13,29,2.230769231
2017-06-17,dbenton,Automation,15,12,0.8
2017-06-17,skelly,Account Managment,14,12,0.8571428571
2017-06-17,mkelley,Roadmap,13,46,3.538461538
2017-06-18,shardin,Saga Creation,14,29,2.071428571
2017-06-18,awoodward,Account Managment,15,13,0.8666666667
2017-06-18,ofrye,Roadmap,16,59,3.6875
2017-06-18,mgonzalez,Task Creation,17,13,0.7647058824
2017-06-18,acox,Reporting,13,27,2.076923077
2017-06-18,sferguson,Automation,15,17,1.133333333
2017-06-19,sfox,Task Creation,15,22,1.466666667
2017-06-19,kashley,Reporting,13,28,2.153846154
2017-06-19,qwyatt,Account Managment,17,24,1.411764706
2017-06-19,kalvarado,Automation,16,20,1.25
2017-06-19,wharvey,Roadmap,15,55,3.666666667
2017-06-20,mforbes,Saga Creation,15,19,1.266666667
2017-06-20,kvilla,Reporting,16,19,1.1875
2017-06-20,dhays,Task Creation,15,21,1.4
2017-06-20,shorne,Roadmap,14,40,2.857142857
2017-06-20,cvillarreal,Account Managment,15,16,1.066666667
2017-06-20,soneill,Automation,15,14,0.9333333333
2017-06-21,dhays,Roadmap,16,47,2.9375
2017-06-21,amcintyre,Reporting,15,33,2.2
2017-06-21,ecoleman,Saga Creation,14,22,1.571428571
2017-06-21,rrobles,Automation,17,1,0.05882352941
2017-06-22,kkane,Account Managment,13,23,1.769230769
2017-06-22,kvilla,Reporting,15,35,2.333333333
2017-06-22,bedwards,Task Creation,16,24,1.5
2017-06-22,skelly,Saga Creation,17,28,1.647058824
2017-06-23,tduffy,Roadmap,13,55,4.230769231
2017-06-23,ewaller,Saga Creation,14,30,2.142857143
2017-06-23,ecoleman,Reporting,16,31,1.9375
2017-06-23,evega,Account Managment,17,23,1.352941176
2017-06-23,shumphrey,Automation,16,16,1
2017-06-24,kalvarado,Task Creation,13,19,1.461538462
2017-06-24,yfriedman,Automation,16,8,0.5
2017-06-25,eberry,Roadmap,17,58,3.411764706
2017-06-25,mmayer,Task Creation,14,12,0.8571428571
2017-06-25,cdudley,Automation,14,7,0.5
2017-06-25,mmayer,Account Managment,17,17,1
2017-06-25,ecampos,Reporting,14,28,2
2017-06-26,jhuang,Automation,14,6,0.4285714286
2017-06-26,jbarajas,Roadmap,16,52,3.25
2017-06-26,cdudley,Task Creation,13,25,1.923076923
2017-06-26,sshepard,Account Managment,17,20,1.176470588
2017-06-26,sferguson,Reporting,16,18,1.125
2017-06-27,jhuang,Automation,17,0,0
2017-06-27,acox,Reporting,15,16,1.066666667
2017-06-27,twright,Account Managment,13,23,1.769230769
2017-06-27,tosborne,Roadmap,13,52,4
2017-06-27,lwheeler,Saga Creation,17,23,1.352941176
2017-06-27,zhodges,Task Creation,17,11,0.6470588235
2017-06-28,evilla,Account Managment,16,9,0.5625
2017-06-28,cstuart,Reporting,16,30,1.875
2017-06-28,zhodges,Automation,15,6,0.4
2017-06-28,ahanna,Roadmap,15,45,3
2017-06-29,soneill,Saga Creation,14,18,1.285714286
2017-06-29,kwalter,Account Managment,17,10,0.5882352941
2017-06-29,atucker,Reporting,16,32,2
2017-06-29,dbriggs,Task Creation,13,22,1.692307692
2017-06-30,evega,Account Managment,17,12,0.7058823529
2017-06-30,shardin,Automation,14,1,0.07142857143
2017-06-30,kcarr,Saga Creation,13,28,2.153846154
2017-06-30,prubio,Task Creation,16,20,1.25
2017-06-30,jbarajas,Roadmap,16,55,3.4375
2017-07-01,awoodward,Saga Creation,13,31,2.384615385
2017-07-01,sshepard,Reporting,17,31,1.823529412
2017-07-01,jgreen,Account Managment,17,20,1.176470588
2017-07-01,swise,Task Creation,16,21,1.3125
2017-07-01,jbeasley,Automation,15,14,0.9333333333
2017-07-02,ecoleman,Saga Creation,16,19,1.1875
2017-07-02,cdudley,Reporting,17,30,1.764705882
2017-07-02,bhensley,Account Managment,16,13,0.8125
2017-07-02,jhansen,Automation,17,18,1.058823529
2017-07-02,rcalhoun,Roadmap,17,58,3.411764706
2017-07-03,bparker,Reporting,14,34,2.428571429
2017-07-03,ofrye,Account Managment,13,17,1.307692308
2017-07-03,bwise,Automation,13,9,0.6923076923
2017-07-03,skelly,Task Creation,16,24,1.5
2017-07-04,qwyatt,Roadmap,16,59,3.6875
2017-07-04,shumphrey,Saga Creation,17,17,1
2017-07-04,agardner,Task Creation,13,27,2.076923077
2017-07-04,jhuang,Reporting,16,23,1.4375
2017-07-04,shardin,Automation,17,16,0.9411764706
2017-07-04,sferguson,Account Managment,13,14,1.076923077
2017-07-05,prubio,Saga Creation,16,28,1.75
2017-07-05,qwyatt,Roadmap,17,56,3.294117647
2017-07-05,aosborn,Reporting,14,32,2.285714286
2017-07-05,prubio,Automation,13,13,1
2017-07-05,atucker,Account Managment,13,11,0.8461538462
2017-07-05,evega,Task Creation,16,19,1.1875
2017-07-06,ipierce,Reporting,16,16,1
2017-07-06,prubio,Saga Creation,15,34,2.266666667
2017-07-06,chenson,Roadmap,17,47,2.764705882
2017-07-06,sfox,Account Managment,14,19,1.357142857
2017-07-06,atucker,Automation,14,16,1.142857143
2017-07-07,nclarke,Reporting,16,24,1.5
2017-07-07,slarson,Task Creation,13,21,1.615384615
2017-07-07,ncooke,Account Managment,16,19,1.1875
2017-07-07,ewaller,Automation,13,14,1.076923077
2017-07-07,hjames,Saga Creation,15,19,1.266666667
2017-07-08,wharvey,Reporting,17,28,1.647058824
2017-07-08,shartman,Automation,16,5,0.3125
2017-07-08,shardin,Account Managment,14,12,0.8571428571
2017-07-08,aortega,Saga Creation,13,18,1.384615385
2017-07-09,kvilla,Saga Creation,16,26,1.625
2017-07-09,alara,Automation,16,14,0.875
2017-07-09,nphillips,Roadmap,15,47,3.133333333
2017-07-09,skelly,Task Creation,17,23,1.352941176
2017-07-09,evega,Reporting,17,30,1.764705882
2017-07-10,kreese,Task Creation,16,13,0.8125
2017-07-10,jnicholson,Reporting,14,24,1.714285714
2017-07-10,ewaller,Saga Creation,17,28,1.647058824
2017-07-10,rconway,Automation,14,14,1
2017-07-10,kcarr,Account Managment,15,19,1.266666667
2017-07-10,ggiles,Roadmap,15,47,3.133333333
2017-07-11,akeller,Roadmap,15,57,3.8
2017-07-11,chodge,Saga Creation,13,21,1.615384615
2017-07-11,jbeasley,Reporting,15,22,1.466666667
2017-07-11,prubio,Account Managment,14,10,0.7142857143
2017-07-11,jbeasley,Automation,17,5,0.2941176471
2017-07-11,jhuang,Task Creation,13,25,1.923076923
2017-07-12,jbarajas,Reporting,13,25,1.923076923
2017-07-12,nphillips,Account Managment,14,13,0.9285714286
2017-07-12,ahernandez,Saga Creation,15,25,1.666666667
2017-07-12,chenson,Roadmap,16,42,2.625
2017-07-12,bwise,Task Creation,15,26,1.733333333
2017-07-13,chodge,Account Managment,13,20,1.538461538
2017-07-13,qwyatt,Reporting,17,30,1.764705882
2017-07-13,cdudley,Saga Creation,17,26,1.529411765
2017-07-13,sshepard,Task Creation,15,22,1.466666667
2017-07-13,evilla,Roadmap,15,44,2.933333333
2017-07-14,nphillips,Task Creation,17,23,1.352941176
2017-07-14,jbarajas,Reporting,13,21,1.615384615
2017-07-14,bparker,Roadmap,13,58,4.461538462
2017-07-14,ncooke,Automation,15,7,0.4666666667
2017-07-14,dbell,Saga Creation,14,29,2.071428571
2017-07-15,kalvarado,Task Creation,15,17,1.133333333
2017-07-15,bwise,Roadmap,16,43,2.6875
2017-07-15,trusso,Saga Creation,17,34,2
2017-07-15,evega,Reporting,15,29,1.933333333
2017-07-15,cstuart,Automation,16,13,0.8125
2017-07-16,nblair,Task Creation,13,14,1.076923077
2017-07-16,kwalter,Account Managment,14,9,0.6428571429
2017-07-16,jhansen,Roadmap,13,55,4.230769231
2017-07-16,kdurham,Reporting,15,27,1.8
2017-07-16,ahanna,Saga Creation,16,29,1.8125
2017-07-17,qwyatt,Saga Creation,17,24,1.411764706
2017-07-17,gcarroll,Reporting,14,17,1.214285714
2017-07-17,shumphrey,Roadmap,14,58,4.142857143
2017-07-17,evega,Automation,16,5,0.3125
2017-07-17,kwalter,Account Managment,17,15,0.8823529412
2017-07-18,bwise,Task Creation,15,11,0.7333333333
2017-07-18,shumphrey,Roadmap,17,46,2.705882353
2017-07-18,evilla,Reporting,14,24,1.714285714
2017-07-18,slarson,Account Managment,16,19,1.1875
2017-07-19,shorne,Roadmap,13,55,4.230769231
2017-07-19,bparker,Automation,15,16,1.066666667
2017-07-19,ggiles,Task Creation,14,22,1.571428571
2017-07-19,evilla,Account Managment,14,20,1.428571429
2017-07-19,ecampos,Saga Creation,16,23,1.4375
2017-07-19,kreese,Reporting,16,25,1.5625
2017-07-20,jgreen,Automation,15,19,1.266666667
2017-07-20,jbeasley,Saga Creation,14,21,1.5
2017-07-20,alara,Roadmap,13,59,4.538461538
2017-07-20,bedwards,Account Managment,14,20,1.428571429
2017-07-20,qwyatt,Reporting,16,18,1.125
2017-07-20,kkane,Task Creation,17,16,0.9411764706
2017-07-21,acombs,Saga Creation,13,30,2.307692308
2017-07-21,shumphrey,Reporting,13,16,1.230769231
2017-07-21,ablackwell,Account Managment,16,5,0.3125
2017-07-21,ehodges,Task Creation,16,20,1.25
2017-07-22,ofrye,Automation,15,16,1.066666667
2017-07-22,ahanna,Task Creation,14,21,1.5
2017-07-22,kgalloway,Saga Creation,13,25,1.923076923
2017-07-22,ecoleman,Account Managment,16,5,0.3125
2017-07-22,shumphrey,Reporting,17,15,0.8823529412
2017-07-22,kreese,Roadmap,14,46,3.285714286
2017-07-23,jnicholson,Account Managment,17,23,1.352941176
2017-07-23,edillon,Automation,14,11,0.7857142857
2017-07-23,zhodges,Task Creation,17,19,1.117647059
2017-07-23,awoodward,Roadmap,13,48,3.692307692
2017-07-23,gcarroll,Reporting,15,27,1.8
2017-07-24,kashley,Reporting,14,34,2.428571429
2017-07-24,acombs,Automation,17,0,0
2017-07-24,acombs,Task Creation,14,13,0.9285714286
2017-07-24,kkane,Roadmap,15,54,3.6
2017-07-24,kwalter,Saga Creation,14,16,1.142857143
2017-07-25,ewaller,Task Creation,14,22,1.571428571
2017-07-25,ofrye,Reporting,14,29,2.071428571
2017-07-25,ahanna,Automation,13,13,1
2017-07-25,slarson,Account Managment,15,18,1.2
2017-07-25,skelly,Roadmap,17,52,3.058823529
2017-07-25,jbarajas,Saga Creation,17,26,1.529411765
2017-07-26,fsexton,Saga Creation,15,23,1.533333333
2017-07-26,evilla,Account Managment,13,9,0.6923076923
2017-07-26,sfox,Automation,15,7,0.4666666667
2017-07-26,agardner,Task Creation,14,14,1
2017-07-26,mgonzalez,Reporting,14,35,2.5
2017-07-26,acox,Roadmap,13,44,3.384615385
2017-07-27,rherman,Roadmap,16,45,2.8125
2017-07-27,kflowers,Automation,15,20,1.333333333
2017-07-27,fsexton,Reporting,14,34,2.428571429
2017-07-27,bparker,Saga Creation,15,33,2.2
2017-07-27,kcarr,Task Creation,17,10,0.5882352941
2017-07-28,nblair,Account Managment,17,18,1.058823529
2017-07-28,ecampos,Roadmap,14,55,3.928571429
2017-07-28,jnicholson,Automation,13,20,1.538461538
2017-07-28,shardin,Saga Creation,16,22,1.375
2017-07-28,lbuck,Task Creation,16,30,1.875
2017-07-29,kflowers,Task Creation,15,23,1.533333333
2017-07-29,ecoleman,Reporting,14,23,1.642857143
2017-07-29,bedwards,Automation,17,4,0.2352941176
2017-07-29,shartman,Account Managment,13,11,0.8461538462
2017-07-29,afuentes,Saga Creation,15,16,1.066666667
2017-07-30,jbeasley,Account Managment,16,21,1.3125
2017-07-30,dhays,Automation,17,2,0.1176470588
2017-07-30,greilly,Saga Creation,15,17,1.133333333
2017-07-30,kdurham,Task Creation,14,18,1.285714286
2017-07-30,cstuart,Roadmap,16,47,2.9375
2017-07-31,ecoleman,Reporting,15,18,1.2
2017-07-31,bparker,Roadmap,17,59,3.470588235
2017-07-31,kvilla,Automation,15,4,0.2666666667
2017-07-31,sferguson,Task Creation,16,29,1.8125
2017-07-31,edillon,Account Managment,15,16,1.066666667
2017-08-01,ahernandez,Saga Creation,10,31,3.1
2017-08-01,bwise,Reporting,11,32,2.909090909
2017-08-01,afuentes,Automation,14,19,1.357142857
2017-08-01,trusso,Task Creation,14,28,2
2017-08-01,wharvey,Account Managment,12,20,1.666666667
2017-08-02,acox,Account Managment,12,8,0.6666666667
2017-08-02,sferguson,Roadmap,10,42,4.2
2017-08-02,evega,Reporting,12,30,2.5
2017-08-02,evilla,Automation,16,4,0.25
2017-08-02,evega,Task Creation,16,13,0.8125
2017-08-03,fsexton,Task Creation,14,20,1.428571429
2017-08-03,bhensley,Reporting,9,25,2.777777778
2017-08-03,shorne,Account Managment,8,21,2.625
2017-08-04,kflowers,Account Managment,10,17,1.7
2017-08-04,cvillarreal,Task Creation,14,22,1.571428571
2017-08-05,cstuart,Automation,17,8,0.4705882353
2017-08-05,evilla,Account Managment,9,13,1.444444444
2017-08-05,ahanna,Reporting,9,32,3.555555556
2017-08-05,dbriggs,Saga Creation,10,32,3.2
2017-08-06,evega,Saga Creation,10,25,2.5
2017-08-06,lbuck,Roadmap,12,41,3.416666667
2017-08-06,evega,Reporting,9,35,3.888888889
2017-08-06,shartman,Automation,15,2,0.1333333333
2017-08-07,kalvarado,Automation,16,17,1.0625
2017-08-07,amurphy,Saga Creation,12,27,2.25
2017-08-07,ehodges,Account Managment,11,13,1.181818182
2017-08-07,acox,Task Creation,17,15,0.8823529412
2017-08-08,gcarroll,Saga Creation,9,35,3.888888889
2017-08-08,kalvarado,Reporting,8,16,2
2017-08-08,dhays,Task Creation,15,12,0.8
2017-08-08,cvillarreal,Automation,15,10,0.6666666667
2017-08-08,dhays,Roadmap,10,45,4.5
2017-08-09,bparker,Account Managment,8,24,3
2017-08-09,sshepard,Automation,14,8,0.5714285714
2017-08-09,kashley,Roadmap,11,41,3.727272727
2017-08-09,cdudley,Saga Creation,10,17,1.7
2017-08-09,kalvarado,Task Creation,15,14,0.9333333333
2017-08-10,ofrye,Saga Creation,10,21,2.1
2017-08-10,afuentes,Automation,13,3,0.2307692308
2017-08-10,chenson,Roadmap,9,59,6.555555556
2017-08-10,shorne,Task Creation,15,17,1.133333333
2017-08-10,kreese,Reporting,8,26,3.25
2017-08-10,edillon,Account Managment,10,16,1.6
2017-08-11,bparker,Automation,14,15,1.071428571
2017-08-11,bedwards,Account Managment,12,9,0.75
2017-08-11,ofrye,Saga Creation,12,29,2.416666667
2017-08-11,bhensley,Reporting,12,17,1.416666667
2017-08-11,soneill,Task Creation,14,27,1.928571429
2017-08-12,mgonzalez,Reporting,10,27,2.7
2017-08-12,trusso,Task Creation,15,22,1.466666667
2017-08-12,kcarr,Roadmap,8,56,7
2017-08-12,jbarajas,Saga Creation,12,30,2.5
2017-08-13,zmack,Saga Creation,10,23,2.3
2017-08-13,ncooke,Account Managment,9,21,2.333333333
2017-08-13,acombs,Task Creation,15,27,1.8
2017-08-13,cstuart,Automation,14,1,0.07142857143
2017-08-13,hjames,Roadmap,8,58,7.25
2017-08-14,jbarajas,Task Creation,13,18,1.384615385
2017-08-14,afuentes,Roadmap,8,40,5
2017-08-14,skelly,Account Managment,9,25,2.777777778
2017-08-15,amurphy,Roadmap,9,45,5
2017-08-15,kgalloway,Saga Creation,11,25,2.272727273
2017-08-15,kvilla,Account Managment,10,7,0.7
2017-08-15,mforbes,Task Creation,15,13,0.8666666667
2017-08-15,chenson,Reporting,9,15,1.666666667
2017-08-16,trusso,Saga Creation,11,27,2.454545455
2017-08-16,tduffy,Reporting,11,28,2.545454545
2017-08-16,amurphy,Roadmap,12,47,3.916666667
2017-08-16,ipierce,Automation,16,9,0.5625
2017-08-17,agardner,Reporting,11,28,2.545454545
2017-08-17,slarson,Task Creation,14,28,2
2017-08-17,rcalhoun,Automation,16,14,0.875
2017-08-17,dhays,Roadmap,10,42,4.2
2017-08-17,skelly,Account Managment,8,14,1.75
2017-08-17,greilly,Saga Creation,11,26,2.363636364
2017-08-18,dbenton,Saga Creation,9,15,1.666666667
2017-08-18,kgalloway,Automation,14,14,1
2017-08-18,slarson,Roadmap,9,49,5.444444444
2017-08-18,aosborn,Account Managment,11,19,1.727272727
2017-08-18,rrobles,Task Creation,17,29,1.705882353
2017-08-18,edillon,Reporting,9,18,2
2017-08-19,kvilla,Reporting,12,15,1.25
2017-08-19,zhodges,Task Creation,17,27,1.588235294
2017-08-19,awoodward,Roadmap,12,55,4.583333333
2017-08-19,evilla,Saga Creation,8,30,3.75
2017-08-19,fsexton,Automation,13,15,1.153846154
2017-08-20,ecampos,Account Managment,10,7,0.7
2017-08-20,hjames,Saga Creation,9,32,3.555555556
2017-08-20,kreese,Task Creation,17,11,0.6470588235
2017-08-20,acombs,Automation,14,15,1.071428571
2017-08-20,nphillips,Roadmap,8,60,7.5
2017-08-20,rherman,Reporting,8,33,4.125
2017-08-21,bparker,Reporting,12,16,1.333333333
2017-08-21,mgonzalez,Task Creation,16,26,1.625
2017-08-21,tduffy,Automation,13,5,0.3846153846
2017-08-21,cstuart,Account Managment,8,11,1.375
2017-08-21,yfriedman,Saga Creation,9,16,1.777777778
2017-08-21,jbarajas,Roadmap,9,43,4.777777778
2017-08-22,evilla,Task Creation,16,21,1.3125
2017-08-22,eberry,Reporting,10,33,3.3
2017-08-22,bparker,Automation,16,9,0.5625
2017-08-22,cvillarreal,Saga Creation,12,20,1.666666667
2017-08-22,ipierce,Roadmap,11,59,5.363636364
2017-08-23,atucker,Account Managment,12,7,0.5833333333
2017-08-23,jnicholson,Saga Creation,9,32,3.555555556
2017-08-23,amurphy,Automation,13,3,0.2307692308
2017-08-23,rconway,Task Creation,15,19,1.266666667
2017-08-23,bedwards,Reporting,11,18,1.636363636
2017-08-23,cvillarreal,Roadmap,10,53,5.3
2017-08-24,gcarroll,Roadmap,12,51,4.25
2017-08-24,mmayer,Task Creation,13,10,0.7692307692
2017-08-24,kflowers,Reporting,9,29,3.222222222
2017-08-25,rrobles,Account Managment,9,16,1.777777778
2017-08-25,kkane,Reporting,8,16,2
2017-08-26,kdurham,Account Managment,12,15,1.25
2017-08-26,skelly,Saga Creation,9,15,1.666666667
2017-08-26,rherman,Automation,17,8,0.4705882353
2017-08-26,ofrye,Reporting,9,18,2
2017-08-26,ehodges,Roadmap,10,40,4
2017-08-26,evega,Task Creation,16,18,1.125
2017-08-27,nclarke,Automation,16,4,0.25
2017-08-27,amurphy,Roadmap,8,52,6.5
2017-08-27,eberry,Saga Creation,11,34,3.090909091
2017-08-27,slarson,Account Managment,10,8,0.8
2017-08-27,atucker,Task Creation,16,15,0.9375
2017-08-28,sfox,Account Managment,10,11,1.1
2017-08-28,skelly,Reporting,12,34,2.833333333
2017-08-28,kalvarado,Saga Creation,12,35,2.916666667
2017-08-28,dbenton,Automation,17,20,1.176470588
2017-08-28,afuentes,Task Creation,15,20,1.333333333
2017-08-29,mstephens,Reporting,12,15,1.25
2017-08-29,edillon,Saga Creation,11,33,3
2017-08-29,fsexton,Roadmap,8,41,5.125
2017-08-29,dhays,Task Creation,16,28,1.75
2017-08-29,alara,Automation,17,3,0.1764705882
2017-08-29,ahanna,Account Managment,9,24,2.666666667
2017-08-30,mbarron,Task Creation,13,28,2.153846154
2017-08-30,qwyatt,Account Managment,10,5,0.5
2017-08-30,kflowers,Automation,14,19,1.357142857
2017-08-30,acombs,Saga Creation,9,31,3.444444444
2017-08-30,kflowers,Reporting,11,16,1.454545455
2017-08-31,shorne,Automation,14,20,1.428571429
2017-08-31,jhansen,Task Creation,13,29,2.230769231
2017-08-31,shumphrey,Roadmap,10,49,4.9
2017-08-31,jgreen,Account Managment,9,23,2.555555556
2017-08-31,dhays,Reporting,8,25,3.125
2017-09-01,nclarke,Saga Creation,20,16,0.8
2017-09-01,afuentes,Automation,16,16,1
2017-09-01,ncooke,Task Creation,17,13,0.7647058824
2017-09-01,rherman,Roadmap,19,56,2.947368421
2017-09-01,bhensley,Reporting,18,34,1.888888889
2017-09-02,jbeasley,Task Creation,16,28,1.75
2017-09-02,hjames,Saga Creation,21,19,0.9047619048
2017-09-02,bcastaneda,Automation,13,13,1
2017-09-02,alara,Reporting,22,31,1.409090909
2017-09-02,dbell,Roadmap,19,53,2.789473684
2017-09-02,twright,Account Managment,19,17,0.8947368421
2017-09-03,sfox,Automation,14,16,1.142857143
2017-09-03,rrobles,Reporting,21,34,1.619047619
2017-09-03,tosborne,Task Creation,16,11,0.6875
2017-09-03,ahernandez,Saga Creation,20,24,1.2
2017-09-03,cpetersen,Roadmap,19,50,2.631578947
2017-09-04,aosborn,Account Managment,19,5,0.2631578947
2017-09-04,kcarr,Reporting,20,26,1.3
2017-09-04,ahernandez,Automation,13,20,1.538461538
2017-09-04,mgonzalez,Roadmap,19,47,2.473684211
2017-09-04,shumphrey,Task Creation,17,18,1.058823529
2017-09-04,cvillarreal,Saga Creation,19,35,1.842105263
2017-09-05,nblair,Account Managment,20,11,0.55
2017-09-05,wharvey,Roadmap,20,60,3
2017-09-05,zhodges,Automation,17,16,0.9411764706
2017-09-05,awoodward,Task Creation,14,15,1.071428571
2017-09-06,cpetersen,Automation,17,4,0.2352941176
2017-09-06,aortega,Reporting,20,35,1.75
2017-09-06,kdurham,Roadmap,21,54,2.571428571
2017-09-06,kwalter,Saga Creation,21,22,1.047619048
2017-09-06,mstephens,Task Creation,13,13,1
2017-09-07,zhodges,Automation,14,7,0.5
2017-09-07,tduffy,Account Managment,22,12,0.5454545455
2017-09-07,nphillips,Saga Creation,19,30,1.578947368
2017-09-07,shumphrey,Reporting,20,23,1.15
2017-09-07,slarson,Roadmap,21,43,2.047619048
2017-09-07,sshepard,Task Creation,13,30,2.307692308
2017-09-08,dhays,Automation,15,4,0.2666666667
2017-09-08,ipierce,Reporting,21,33,1.571428571
2017-09-08,bhensley,Task Creation,16,12,0.75
2017-09-08,jbeasley,Roadmap,21,40,1.904761905
2017-09-09,slarson,Saga Creation,22,15,0.6818181818
2017-09-09,ipierce,Reporting,22,33,1.5
2017-09-09,acombs,Account Managment,19,10,0.5263157895
2017-09-09,ecampos,Automation,17,19,1.117647059
2017-09-10,rconway,Automation,16,9,0.5625
2017-09-10,cvillarreal,Task Creation,14,12,0.8571428571
2017-09-10,aortega,Account Managment,19,20,1.052631579
2017-09-10,wharvey,Reporting,21,15,0.7142857143
2017-09-10,shartman,Roadmap,22,55,2.5
2017-09-10,acox,Saga Creation,22,33,1.5
2017-09-11,shartman,Roadmap,22,58,2.636363636
2017-09-11,ehodges,Task Creation,17,30,1.764705882
2017-09-11,yfriedman,Saga Creation,19,34,1.789473684
2017-09-12,slarson,Reporting,22,15,0.6818181818
2017-09-12,lbuck,Saga Creation,20,34,1.7
2017-09-12,qwyatt,Account Managment,18,25,1.388888889
2017-09-12,evega,Automation,15,3,0.2
2017-09-13,amurphy,Task Creation,14,18,1.285714286
2017-09-13,awoodward,Saga Creation,20,23,1.15
2017-09-13,ipierce,Automation,14,14,1
2017-09-13,jnicholson,Roadmap,20,55,2.75
2017-09-13,hjames,Account Managment,21,13,0.619047619
2017-09-14,kashley,Saga Creation,21,19,0.9047619048
2017-09-14,shardin,Task Creation,15,25,1.666666667
2017-09-14,alara,Roadmap,20,43,2.15
2017-09-14,ewaller,Reporting,20,26,1.3
